ID	A	E	I	DESCRIPTION
p_NA;c_NA;o_NA;f_NA;g_NA	43	53	57	p_NA;c_NA;o_NA;f_NA;g_NA
p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lacticaseibacillus	0	5	27	p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lacticaseibacillus
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_NA	0	0	39	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes	6	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes
p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_NA;g_NA	0	3	0	p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_NA;g_NA
p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella	0	4	2	p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella
p_Verrucomicrobia;c_NA;o_NA;f_NA;g_NA	4	12	0	p_Verrucomicrobia;c_NA;o_NA;f_NA;g_NA
p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_NA	0	7	0	p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_NA
p_Proteobacteria;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella	0	4	0	p_Proteobacteria;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Butyricicoccus	16	25	18	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Butyricicoccus
p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcus	3	3	63	p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcus
p_Proteobacteria;c_NA;o_NA;f_NA;g_NA	8	4	21	p_Proteobacteria;c_NA;o_NA;f_NA;g_NA
p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter	2	2	6	p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella	3	0	4	p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella
p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus	0	0	10	p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus
